web_id,sensor_id,batt_%
ALG_VDL_Mn41-FFFD,PI040298AD5I212453,74
ALG_VDL_Ss23-0025,PI040298AD5I212473,75
ALG_VDL_Ss07*-09A7,PI040298AD5I212515,65
ALG_VDL_TS08-0876,PI040298AD5I212535,16
ALG_VDL_Og08-09E3,PI040298AD5I212544,100
ALG_VDL_TS13-06A9,PI040298AD5I212558,100
ALG_VDL_Ss49-0808,PI040298AD5I212562,80
ALG_VDL_TS09-FF63,PI040298AD5I212585,100
ALG_VDL_TS12-07CF,PI040298AD5I212610,100
ALG_VDL_MN12*-C05B,PI040298AD5I212622,69
ALG_VDL_Mn11*-B12D,PI040298AD5I212625,66
ALG_VDL_TN07*-B122,PI040298AD5I212626,69
ALG_VDL_SB12-2BB7,PI040298AD5I212632,100
ALG_VDL_Ss08-249F,PI040298AD5I212667,7
ALG_VDL_Mn38-2187,PI040298AD5I212668,75
ALG_VDL_Mn39-1E8C,PI040298AD5I212674,76
Alg_vdl_Wz01-FEA8,PI040298AD5I212788,10
ALG_VDL_LL08-FF0C,PI040298AD5I212794,70
ALG_VDL_LL03-C701,PI040298AD5I212808,72
ALG_VDL_Ss58-07AA,PI040298AD5I212829,78
ALG_VDL_Ss12*-C15F,PI040298AD5I212862,64
ALG_VDL_ER02*-C14B,PI040298AD5I212864,68
ALG_VDL_EF02-C12E,PI040298AD5I212865,67
ALG_VDL_Tn05-A4F9,PI040298AD5I212913,65
ALG_VDL_Mn46-5EC4,PI040298AD5I212917,100
ALG_VDL_Ss24-5F14,PI040298AD5I212921,11
ALG_VDL_Ss04-5E42,PI040298AD5I212923,67
ALG_VDL_Ss17-0635,PI040298AD5I212947,23
ALG_VDL_Fr-01-04A7,PI040298AD5I212954,67
ALG_VDL_SB08-54AD,PI040298AD5I212982,100
ALG_VDL_SS38-54B8,PI040298AD5I212983,100
ALG_VDL_Mn08-1108,PI040298AD5I212991,100
ALG_VDL_Mn40-53C2,PI040298AD5I212999,6
ALG_VDL_Og03-6339,PI040298AD5I213006,100
Alg_vdl_Wz03-630F,PI040298AD5I213008,67
ALG_VDL_Mn16-2F1D,PI040298AD5I213013,38
ALG_VDL_WZ04-3120,PI040298AD5I213018,72
ALG_VDL_Ss46-5456,PI040298AD5I213020,54
ALG_VDL_Mn32-5559,PI040298AD5I213031,25
ALG_VDL_SB09-553F,PI040298AD5I213035,100
ALG_VDL_Ss16-4AA5,PI040298AD5I213048,0
ALG_VDL_Mn15-4AE2,PI040298AD5I213075,10
ALG_VDL_Tn04-91AA,PI040298AD5I213076,100
ALG_VDL_WZ05-926F,PI040298AD5I213081,100
ALG_VDL_Tn18-8ED3,PI040298AD5I213087,100
ALG_VDL_TS01-642E,PI040298AD5I213124,15
ALG_VDL_Ss02-6442,PI040298AD5I213125,52
ALG_VDL_Ss12-632D,PI040298AD5I213126,85
ALG_VDL_Mn11-61DB,PI040298AD5I213128,51
ALG_VDL_Ss41-61FC,PI040298AD5I213129,78
ALG_VDL_Ss18-55E3,PI040298AD5I213134,79
ALG_VDL_TS11-0575,PI040298AD5I213167,100
ALG_VDL_ER01-0564,PI040298AD5I213170,100
ALG_VDL_Ss35-08CC,PI040298AD5I213175,18
ALG_VDL_SS48-5259,PI040298AD5I213228,58
ALG_VDL_Ss14-536D,PI040298AD5I213235,59
ALG_VDL_LL06-4D60,PI040298AD5I213247,71
ALG_VDL_SS44-4D8F,PI040298AD5I213249,71
ALG_VDL_TN05*-1087,PI040298AD5I213286,68
ALG_VDL_LL01-5BF1,PI040298AD5I213293,73
ALG_VDL_Mn29-FD71,PI040298AD5I213355,100
ALG_VDL_Ss02*-C718,PI040298AD5I213389,67
ALG_VDL_Mn04*-B537,PI040298AD5I213390,67
ALG_VDL_MN21-B434,PI040298AD5I213392,72
ALG_VDL_EF01-B3DA,PI040298AD5I213394,70
ALG_VDL_Mn05-392B,PI040298AD5I213420,100
ALG_VDL_Mn23-316E,PI040298AD5I213432,36
ALG_VDL_Mn33-3136,PI040298AD5I213444,55
ALG_VDL_Ss13-3100,PI040298AD5I213451,25
ALG_VDL_ER02-533F,PI040298AD5I213454,36
ALG_VDL_Ss05*-3462,PI040298AD5I213504,62
ALG_VDL_Ss03-5E32,PI040298AD5I213518,87
ALG_VDL_SS42-5DF9,PI040298AD5I213521,31
ALG_VDL_Ss20-6099,PI040298AD5I213524,47
ALG_VDL_SS37-60CB,PI040298AD5I213527,100
ALG_VDL_Mn19-608E,PI040298AD5I213531,43
ALG_VDL_Mn44-5766,PI040298AD5I213557,100
ALG_VDL_Ss19-5968,PI040298AD5I213559,62
ALG_VDL_Ss45-58DD,PI040298AD5I213561,100
ALG_VDL_SS50-C142,PI040298AD5I213827,6
ALG_VDL_WZ06-4704,PI040298AD5I213836,100
ALG_VDL_Ss26-6401,PI040298AD5I213852,85
ALG_VDL_Mn43-641D,PI040298AD5I213854,57
ALG_VDL_Mn25-640D,PI040298AD5I213859,47
ALG_VDL_Og06-1BF2,PI040298AD5I213880,100
ALG_VDL_Ss53-1659,PI040298AD5I213912,100
ALG_VDL_SB10-4D23,PI040298AD5I213916,96
ALG_VDL_Sb02-947E,PI040298AD5I213936,97
ALG_VDL_OG07*-C758,PI040298AD5I213952,71
ALG_VDL_TN16*-C6E7,PI040298AD5I213954,68
ALG_VDL_Mn22-0F0C,PI040298AD5I213966,46
ALG_VDL_Mn26-0F04,PI040298AD5I213967,78
ALG_VDL_Mn37-3757,PI040298AD5I214003,100
ALG_VDL_SB06-4E71,PI040298AD5I214008,100
ALG_VDL_Ss32-5D64,PI040298AD5I214020,49
ALG_VDL_Mn10-5D46,PI040298AD5I214021,71
ALG_VDL_SS36-5C9B,PI040298AD5I214023,19
ALG_VDL_Ss55-5D52,PI040298AD5I214027,100
ALG_VDL_Mn14-5FFA,PI040298AD5I214030,59
ALG_VDL_Ss25-5FB5,PI040298AD5I214031,40
ALG_VDL_Ss11-3390,PI040298AD5I214057,17
ALG_VDL_Mn36-33A1,PI040298AD5I214059,87
ALG_VDL_Mn01*-57D0,PI040298AD5I214085,69
ALG_VDL_Ss10*-5746,PI040298AD5I214087,85
ALG_VDL_Mn13-5738,PI040298AD5I214088,67
ALG_VDL_Mn42-587C,PI040298AD5I214089,39
ALG_VDL_Mn12-57E5,PI040298AD5I214090,82
ALG_VDL_ER04-5151,PI040298AD5I214095,69
ALG_VDL_Og05-5181,PI040298AD5I214096,100
ALG_VDL_Ss34-5176,PI040298AD5I214098,65
ALG_VDL_LG01-3185,PI040298AD5I214120,40
ALG_VDL_Ss07-2CF7,PI040298AD5I214139,4
