LAT,LON,SENSOR_ID,FP_ID,LOC_ID,FROM_DATETIME,TO_DATETIME
37.1396613140618,-8.63481873756822,PI040298AD5I208794,6791,jw8QLULVYM1533058244803,2019-05-01 07:40:53,2019-07-30 07:40:53
37.139391302219,-8.63293890035322,PI040298AD5I212921,5F14,I7HZtYJqzw1535193132130,2019-05-01 07:40:53,2019-07-30 07:40:53
37.1392864139543,-8.6358735806671,PI040298AD5I206193,64E8,OeuHFYPaes1533055734692,2019-05-01 07:40:53,2019-07-30 07:40:53
37.1391829203616,-8.63174107131516,PI040298AD5I209386,6D13,WJd2bAJl1l1535462201843,2019-05-01 07:40:53,2019-07-30 07:40:53
37.1406928327007,-8.63381862900089,PI040298AD5I213006,6339,2okL4KwSOz1535298941239,2019-05-01 07:40:53,2019-07-30 07:40:53
37.1396425432979,-8.63560648468544,PI040298AD5I211649,B17C,iKNUqeXmzO1564386047452,2019-05-01 07:40:53,2019-07-30 07:40:53
37.1400463052534,-8.63509280903325,PI040298AD5I214021,5D46,VKTuZBe3Jr1534851436104,2019-05-01 07:40:53,2019-07-30 07:40:53
37.1397919946021,-8.63458934297803,PI040298AD5I213087,8ED3,QW1MIRi3Cs1533058905631,2019-05-01 07:40:53,2019-07-30 07:40:53
37.1395966152931,-8.63483458349286,PI040298AD5I211397,9592,0FgVQljsFg1533054246260,2019-05-01 07:40:53,2019-07-30 07:40:53
37.1399404598272,-8.63176123132114,PI040298AD5I212983,54B8,qTOCUc1C4a1535470213701,2019-05-01 07:40:53,2019-07-30 07:40:53
37.138861052963,-8.63523227210566,PI040298AD5I212610,07CF,IqQHZSXAIC1535452068090,2019-05-01 07:40:53,2019-07-30 07:40:53
37.1382209719975,-8.63524307661699,PI040298AD5I212632,2BB7,0wuGkGKKZ71535456384667,2019-05-01 07:40:53,2019-07-30 07:40:53
37.1383135411643,-8.63488530939955,PI040298AD5I210998,A45D,btugHA2Mqn1535456523021,2019-05-01 07:40:53,2019-07-30 07:40:53
37.1384628549096,-8.63428816787675,PI040298AD5I213035,553F,8xgiIQ6Zt11535456761202,2019-05-01 07:40:53,2019-07-30 07:40:53
37.1387717754363,-8.63256201878418,PI040298AD5G200484,BC31,AWAUJIhxHA1552661375562,2019-05-01 07:40:53,2019-07-30 07:40:53
37.139206121734,-8.6331614149763,PI040298AD5I213048,4AA5,W0fxRKS00W1535191896310,2019-05-01 07:40:53,2019-07-30 07:40:53
0.0,0.0,PI040298AD5I211658,9610,2GSZ0xQwt61535219432166,2019-05-01 07:40:53,2019-07-30 07:40:53
37.1399404598272,-8.63176123132114,PI040298AD5I213827,C142,psrhsvhrJW1535469737665,2019-05-01 07:40:53,2019-07-30 07:40:53
37.1399606587496,-8.63466836005483,PI040298AD5I210872,5D17,LjM8kSdx3z1534849423584,2019-05-01 07:40:53,2019-07-30 07:40:53
37.1396330421975,-8.63564754770685,PI040298AD5I209922,6E45,8xzMIS0Eqc1533057778332,2019-05-01 07:40:53,2019-07-30 07:40:53
37.1392348650421,-8.63334486488551,PI040298AD5I211625,56EB,8X7EWhUx8i1553618904028,2019-05-01 07:40:53,2019-07-30 07:40:53
37.1393304001739,-8.63346528140333,PI040298AD5G203983,CF45,Lvm7mAWVLJ1553615611974,2019-05-01 07:40:53,2019-07-30 07:40:53
