dates,soil_moisture_percent,NAs_Ratio,id,dSM
2018-08-17,11.3407692307692,0,5991,
2018-08-18,11.3171875,0,5991,-0.0235817307692301
2018-08-19,11.3163541666667,0,5991,-0.000833333333334352
2018-08-20,11.2454166666667,0,5991,-0.0709374999999994
2018-08-21,11.1951041666667,0,5991,-0.0503125000000004
2018-08-22,11.1869791666667,0,5991,-0.00812499999999972
2018-08-23,11.2032291666667,0,5991,0.0162499999999994
2018-08-24,11.1571875,0,5991,-0.0460416666666657
2018-08-25,11.0664583333333,0,5991,-0.0907291666666676
2018-08-26,11.0475,0,5991,-0.0189583333333339
2018-08-27,11.0298958333333,0,5991,-0.0176041666666666
2018-08-28,11.0014583333333,0,5991,-0.028437499999999
2018-08-29,10.9188541666667,0,5991,-0.0826041666666679
2018-08-30,10.9269791666667,0,5991,0.00812500000000149
2018-08-31,10.9879166666667,0,5991,0.0609374999999996
2018-09-01,10.8619791666667,0,5991,-0.125937500000001
2018-09-02,10.8877083333333,0,5991,0.0257291666666664
2018-09-03,10.7698958333333,0,5991,-0.117812499999999
2018-09-04,10.7103125,0,5991,-0.0595833333333324
2018-09-05,10.7617708333333,0,5991,0.0514583333333327
2018-09-06,10.876875,0,5991,0.115104166666667
2018-09-07,10.8985416666667,0,5991,0.0216666666666665
2018-09-08,10.8728125,0,5991,-0.0257291666666664
2018-09-09,10.8213541666667,0,5991,-0.0514583333333345
2018-09-10,10.8525,0,5991,0.0311458333333334
2018-09-11,10.9472916666667,0,5991,0.0947916666666675
2018-09-12,10.9852083333333,0,5991,0.0379166666666659
2018-09-13,10.93375,0,5991,-0.0514583333333327
2018-09-14,10.8971875,0,5991,-0.0365625000000005
2018-09-15,10.9378125,0,5991,0.0406250000000004
2018-09-16,10.9405208333333,0,5991,0.00270833333333265
2018-09-17,10.9784375,0,5991,0.0379166666666677
2018-09-18,10.9527083333333,0,5991,-0.0257291666666664
2018-09-19,10.9825,0,5991,0.0297916666666662
2018-09-20,10.9351041666667,0,5991,-0.0473958333333329
2018-09-21,10.8470833333333,0,5991,-0.0880208333333332
2018-09-22,10.893125,0,5991,0.0460416666666657
2018-09-23,10.8457291666667,0,5991,-0.0473958333333329
2018-09-24,10.8159375,0,5991,-0.0297916666666662
2018-09-25,10.8105208333333,0,5991,-0.00541666666666707
2018-09-26,10.7834375,0,5991,-0.0270833333333336
2018-09-27,10.7915625,0,5991,0.00812499999999972
2018-09-28,10.7522916666667,0,5991,-0.0392708333333331
2018-09-29,10.7346875,0,5991,-0.0176041666666666
2018-09-30,10.7211458333333,0,5991,-0.0135416666666668
2018-10-01,10.7211458333333,0,5991,0
2018-10-02,10.6845833333333,0,5991,-0.0365625000000005
2018-10-03,10.6507291666667,0,5991,-0.0338541666666661
2018-10-04,10.6128125,0,5991,-0.0379166666666659
2018-10-05,10.5085416666667,0,5991,-0.104270833333334
2018-10-06,10.5247916666667,0,5991,0.0162500000000012
2018-10-07,10.4828125,0,5991,-0.0419791666666676
2018-10-08,10.4421875,0,5991,-0.0406250000000004
2018-10-09,10.3798958333333,0,5991,-0.0622916666666669
2018-10-10,10.4123958333333,0,5991,0.0325000000000006
2018-10-11,10.4164583333333,0,5991,0.00406249999999986
2018-10-12,10.4232291666667,0,5991,0.00677083333333428
2018-10-13,10.340625,0,5991,-0.0826041666666679
2018-10-14,10.4110416666667,0,5991,0.0704166666666666
